iter	species	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
0	Poraqueiba_guianensis	9585.28	0	0	0	0	0	0	0	0	0	0	0
0	Pourouma_minor	9588.8	0	0	0	0	0	0	0	0	0	0	0
0	Pourouma_villosa	9595.68	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_ambelaniifolia	9598.72	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_bangii	9598.88	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_benai	9601.6	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_bilocularis	9602.24	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_cladantha	9610.4	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_cuspidata	9612.48	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_decorticans	9630.88	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_eugeniifolia	9647.84	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_filipes	9651.04	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_fimbriata	9659.84	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_flavilatex	9662.24	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_guianensis	9673.44	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_hispida	9678.72	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_jariensis	9687.52	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_laevigata	9689.76	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_melanopoda	9692.48	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_reticulata	9693.92	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_retinervis	9695.52	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_singularis	9702.72	0	0	0	0	0	0	0	0	0	0	0
0	Pouteria_torta	9714.56	0	0	0	0	0	0	0	0	0	0	0
0	Pradosia_cochlearia	9715.68	0	0	0	0	0	0	0	0	0	0	0
0	Pradosia_ptychandra	9730.72	0	0	0	0	0	0	0	0	0	0	0
0	Protium_apiculatum	9732	0	0	0	0	0	0	0	0	0	0	0
0	Protium_cuneatum	9733.92	0	0	0	0	0	0	0	0	0	0	0
0	Protium_decandrum	9755.84	0	0	0	0	0	0	0	0	0	0	0
0	Protium_gallicum	9769.76	0	0	0	0	0	0	0	0	0	0	0
0	Protium_guianense	9777.12	0	0	0	0	0	0	0	0	0	0	0
0	Protium_morii	9777.6	0	0	0	0	0	0	0	0	0	0	0
0	Protium_opacum	9798.4	0	0	0	0	0	0	0	0	0	0	0
0	Protium_sagotianum	9813.12	0	0	0	0	0	0	0	0	0	0	0
0	Protium_subserratum	9813.92	0	0	0	0	0	0	0	0	0	0	0
0	Protium_tenuifolium	9817.6	0	0	0	0	0	0	0	0	0	0	0
0	Protium_trifoliolatum	9820.48	0	0	0	0	0	0	0	0	0	0	0
0	Pseudopiptadenia_psilostachya	9820.8	0	0	0	0	0	0	0	0	0	0	0
0	Pseudoxandra_cuspidata	9827.84	0	0	0	0	0	0	0	0	0	0	0
0	Qualea_rosea	9841.76	0	0	0	0	0	0	0	0	0	0	0
0	Quararibea_duckei	9841.92	0	0	0	0	0	0	0	0	0	0	0
0	Rhodostemonodaphne_grandis	9844.8	0	0	0	0	0	0	0	0	0	0	0
0	Sacoglottis_guianensis	9845.76	0	0	0	0	0	0	0	0	0	0	0
0	Schefflera_decaphylla	9847.36	0	0	0	0	0	0	0	0	0	0	0
0	Sextonia_rubra	9849.44	0	0	0	0	0	0	0	0	0	0	0
0	Simaba_polyphylla	9851.04	0	0	0	0	0	0	0	0	0	0	0
0	Siparuna_pachyantha	9853.92	0	0	0	0	0	0	0	0	0	0	0
0	Sloanea_brevipes	9854.08	0	0	0	0	0	0	0	0	0	0	0
0	Sterculia_pruriens	9864.8	0	0	0	0	0	0	0	0	0	0	0
0	Sterculia_speciosa	9869.44	0	0	0	0	0	0	0	0	0	0	0
0	Symphonia_globulifera	9871.04	0	0	0	0	0	0	0	0	0	0	0
0	Symplocos_martinicensis	9871.52	0	0	0	0	0	0	0	0	0	0	0
0	Tachigali_bracteolata	9872.16	0	0	0	0	0	0	0	0	0	0	0
0	Tachigali_paraensis	9874.88	0	0	0	0	0	0	0	0	0	0	0
0	Talisia_simaboides	9876.64	0	0	0	0	0	0	0	0	0	0	0
0	Tapirira_guianensis	9877.28	0	0	0	0	0	0	0	0	0	0	0
0	Tetragastris_altissima	9877.92	0	0	0	0	0	0	0	0	0	0	0
0	Tetragastris_panamensis	9878.56	0	0	0	0	0	0	0	0	0	0	0
0	Theobroma_subincanum	9882.24	0	0	0	0	0	0	0	0	0	0	0
0	Thyrsodium_guianense	9882.24	0	0	0	0	0	0	0	0	0	0	0
0	Thyrsodium_puberulum	9886.08	0	0	0	0	0	0	0	0	0	0	0
0	Trichilia_cipo	9887.68	0	0	0	0	0	0	0	0	0	0	0
0	Trymatococcus_oligandrus	9888.64	0	0	0	0	0	0	0	0	0	0	0
0	Unonopsis_rufescens	9891.36	0	0	0	0	0	0	0	0	0	0	0
0	Virola_kwatae	9892.48	0	0	0	0	0	0	0	0	0	0	0
0	Virola_michelii	9901.44	0	0	0	0	0	0	0	0	0	0	0
0	Virola_multicostata	9901.6	0	0	0	0	0	0	0	0	0	0	0
0	Vochysia_guianensis	9901.92	0	0	0	0	0	0	0	0	0	0	0
0	Vouacapoua_americana	9910.88	0	0	0	0	0	0	0	0	0	0	0
0	Xylopia_nitida	9910.72	0	0	1.06667	0	760.39	1.06803	0.586001	0.0516602	0.102138	0.000151107	0.159443
1	Abarema_jupunba	279.52	0	0	0	0	0	0	0	0	0	0	0
1	Amaioua_guianensis	445.28	0	0	0	0	0	0	0	0	0	0	0
1	Anacardium_spruceanum	569.44	0	0	0	0	0	0	0	0	0	0	0
1	Astronium_lecointei	607.04	0	0	0	0	0	0	0	0	0	0	0
1	Bagassa_guianensis	645.44	0	0	0	0	0	0	0	0	0	0	0
1	Bocoa_prouacensis	1274.4	0	0	0	0	0	0	0	0	0	0	0
1	Brosimum_guianense	1584.16	0	0	0	0	0	0	0	0	0	0	0
1	Brosimum_rubescens	1769.6	0	0	0	0	0	0	0	0	0	0	0
1	Buchenavia_guianensis	1789.12	0	0	0	0	0	0	0	0	0	0	0
1	Byrsonima_laevigata	1906.88	0	0	0	0	0	0	0	0	0	0	0
1	Capparis_maroniensis	1918.4	0	0	0	0	0	0	0	0	0	0	0
1	Carapa_procera	2632.64	0	0	0	0	0	0	0	0	0	0	0
1	Caryocar_glabrum	2744.48	0	0	0	0	0	0	0	0	0	0	0
1	Cecropia_obtusa	2933.92	0	0	0	0	0	0	0	0	0	0	0
1	Cheiloclinium_cognatum	3044.64	0	0	0	0	0	0	0	0	0	0	0
1	Chrysophyllum_argenteum	3274.56	0	0	0	0	0	0	0	0	0	0	0
1	Chrysophyllum_cuneifolium	3303.04	0	0	0	0	0	0	0	0	0	0	0
1	Chrysophyllum_eximium	3633.28	0	0	0	0	0	0	0	0	0	0	0
1	Chrysophyllum_prieurii	3694.72	0	0	0	0	0	0	0	0	0	0	0
1	Chrysophyllum_sanguinolentum	3893.6	0	0	0	0	0	0	0	0	0	0	0
1	Conceveiba_guianensis	4097.6	0	0	0	0	0	0	0	0	0	0	0
1	Cordia_sagotii	4256.64	0	0	0	0	0	0	0	0	0	0	0
1	Couepia_bracteosa	4293.76	0	0	0	0	0	0	0	0	0	0	0
1	Couepia_caryophylloides	4609.44	0	0	0	0	0	0	0	0	0	0	0
1	Couepia_guianensis	4688.96	0	0	0	0	0	0	0	0	0	0	0
1	Couma_guianensis	4717.6	0	0	0	0	0	0	0	0	0	0	0
1	Couratari_multiflora	4753.92	0	0	0	0	0	0	0	0	0	0	0
1	Cupania_scrobiculata	4832.8	0	0	0	0	0	0	0	0	0	0	0
1	Dacryodes_cuspidata	5005.44	0	0	0	0	0	0	0	0	0	0	0
1	Diospyros_carbonaria	5085.44	0	0	0	0	0	0	0	0	0	0	0
1	Diploon_cuspidatum	5216.64	0	0	0	0	0	0	0	0	0	0	0
