iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
93	2.15744e+06	2.22222	0	12.7484	0.018251	43724.4	4.00571	1.79385	0.294583	0.557966	0.110898	0.563394
94	2.17774e+06	3.55556	0	12.828	0.0290967	44259.4	3.82347	1.68167	0.287299	0.554528	0.107093	0.56786
95	2.19852e+06	5.33333	0	12.8807	0.043696	44661.4	3.23133	1.32583	0.253303	0.539777	0.100468	0.572807
96	2.22489e+06	7.11111	0	12.9193	0.0582285	45000.3	3.21871	1.35776	0.242904	0.514568	0.0969386	0.575184
97	2.24717e+06	10.2222	0	12.9636	0.0836462	45334.7	3.05347	1.24993	0.238493	0.511109	0.0975448	0.575042
98	2.26625e+06	11.5556	0	13.0137	0.0949982	45703.2	3.1526	1.32844	0.23876	0.503519	0.0959281	0.573216
99	2.28572e+06	11.5556	0	13.073	0.0960502	46106	3.22566	1.36747	0.243765	0.50545	0.100595	0.570436
100	2.30081e+06	13.3333	0	13.097	0.111443	46400.8	3.15242	1.307	0.241843	0.516382	0.100455	0.567357
101	2.31649e+06	15.5556	0	13.1309	0.130149	46747.2	3.27414	1.41249	0.238399	0.499796	0.100894	0.564695
102	2.33093e+06	19.1111	0	13.1783	0.159751	47154.9	3.43755	1.51206	0.244786	0.50472	0.103656	0.562724
103	2.34601e+06	29.7778	0	13.2422	0.246722	47657.1	3.72937	1.676	0.267881	0.516112	0.107421	0.562083
104	2.36113e+06	34.6667	0	13.3142	0.289706	48211.6	3.9838	1.79878	0.286252	0.542278	0.115513	0.563103
105	2.37744e+06	42.2222	0	13.3984	0.354391	48800.5	4.03257	1.78629	0.299236	0.567593	0.121953	0.566092
106	2.3955e+06	50.2222	0	13.4619	0.422855	49295.8	3.84226	1.67077	0.291406	0.563223	0.117504	0.570103
107	2.41819e+06	58.2222	0	13.4955	0.4926	49634.9	3.24427	1.31375	0.256534	0.54737	0.109965	0.574347
