iter	sum1	sum10	sum30	ba	ba10	agb	gpp	npp	rday	rnight	rstem	litterfall
90	2.13661e+06	0.32	0	12.5673	0.00254208	42226.8	3.40746	1.51515	0.240637	0.495501	0.0939613	0.558966
91	2.15382e+06	0.32	0	12.6242	0.00258876	42698.3	3.69449	1.67698	0.263249	0.506516	0.0974449	0.557933
92	2.17062e+06	0.64	0	12.702	0.00515971	43256.4	3.94466	1.79818	0.281333	0.532322	0.104924	0.558764
93	2.18831e+06	2.56	0	12.7831	0.0204726	43821.9	3.99355	1.78647	0.294203	0.557392	0.110912	0.561739
94	2.20868e+06	3.84	0	12.8601	0.030962	44351.1	3.80991	1.67351	0.286879	0.55386	0.10711	0.56626
95	2.23056e+06	5.6	0	12.9012	0.0454132	44718	3.21944	1.31943	0.252777	0.538774	0.10042	0.570853
96	2.25429e+06	6.4	0	12.94	0.0521832	45054	3.20796	1.35203	0.242404	0.513572	0.0968977	0.573166
97	2.27797e+06	7.68	0	12.9723	0.0630521	45353	3.04261	1.24423	0.238007	0.51012	0.0974608	0.572899
98	2.29991e+06	10.08	0	13.017	0.0826183	45703.4	3.14249	1.32342	0.23823	0.502406	0.0958334	0.570878
99	2.32033e+06	12	0	13.0576	0.0986893	46045.2	3.21195	1.36065	0.243022	0.503917	0.100389	0.567572
100	2.33631e+06	15.84	0	13.0825	0.130314	46341.3	3.13966	1.30078	0.241146	0.514893	0.100257	0.564505
101	2.35271e+06	18.4	0	13.1153	0.151905	46685.9	3.26147	1.40612	0.237709	0.498342	0.100707	0.561809
102	2.3668e+06	21.76	0	13.1477	0.180206	47054	3.42431	1.5053	0.244053	0.503201	0.103428	0.559654
103	2.38283e+06	27.2	0	13.2033	0.226166	47530.3	3.71343	1.66761	0.267042	0.51451	0.107142	0.558832
104	2.3986e+06	34.72	0	13.2731	0.289566	48079.3	3.96457	1.78844	0.285305	0.540564	0.1152	0.559645
105	2.41613e+06	43.04	0	13.3513	0.360157	48647	4.01136	1.77488	0.298179	0.565665	0.121584	0.562551
106	2.43613e+06	50.56	0	13.4144	0.425011	49143.3	3.82488	1.66147	0.290501	0.561549	0.117196	0.566798
107	2.45815e+06	58.08	0	13.4583	0.490979	49518.7	3.228	1.30496	0.255779	0.545897	0.109743	0.571177
108	2.48389e+06	64.32	0	13.4973	0.545199	49862.6	3.21509	1.33756	0.245266	0.520384	0.105793	0.573384
109	2.50866e+06	73.76	0	13.5388	0.626461	50190.8	3.05089	1.23035	0.240898	0.517039	0.10636	0.573188
110	2.53014e+06	78.24	0	13.581	0.667689	50533	3.14915	1.30911	0.241054	0.509091	0.104446	0.571027
111	2.55022e+06	84.48	0	13.6189	0.72346	50877.2	3.2208	1.3469	0.246073	0.510971	0.109351	0.568048
112	2.56706e+06	94.08	0	13.6398	0.806601	51155.4	3.14811	1.28698	0.24411	0.521952	0.109051	0.564841
113	2.58306e+06	104.64	0	13.6647	0.898085	51477.1	3.2727	1.39469	0.240653	0.505174	0.109396	0.562118
114	2.59773e+06	113.12	0	13.686	0.974682	51822.5	3.43745	1.49482	0.247118	0.510167	0.112224	0.560103
115	2.61367e+06	125.12	0	13.7347	1.08204	52286.2	3.72669	1.65716	0.270255	0.521321	0.116096	0.559174
116	2.62976e+06	141.28	0	13.7982	1.22566	52816.1	3.97611	1.77668	0.288433	0.547085	0.124639	0.559736
117	2.64708e+06	160.16	0	13.873	1.39257	53379.6	4.01951	1.76122	0.301039	0.571667	0.131349	0.562232
118	2.66556e+06	175.04	0	13.9347	1.52834	53883.9	3.83023	1.64739	0.293008	0.56692	0.126491	0.566134
119	2.68766e+06	188.96	0	13.966	1.65819	54219.5	3.22856	1.28979	0.25766	0.550412	0.118241	0.569921
120	2.71397e+06	200.96	0	14.0059	1.76827	54562.9	3.21745	1.32445	0.247097	0.524718	0.113823	0.571859
121	2.73909e+06	216.16	0	14.0303	1.90581	54838.1	3.05044	1.21577	0.242575	0.521094	0.114252	0.5712
122	2.76106e+06	229.44	0	14.0545	2.02719	55131.8	3.1496	1.29581	0.242662	0.512903	0.111952	0.568865
123	2.78044e+06	244.96	0	14.0831	2.16783	55442.5	3.22137	1.33347	0.247687	0.514713	0.117054	0.565681
124	2.7981e+06	261.92	0	14.1091	2.32099	55737	3.14961	1.27399	0.245799	0.525933	0.116674	0.562705
125	2.81216e+06	281.12	0	14.1272	2.49345	56040	3.27377	1.3818	0.242263	0.508913	0.116929	0.559961
126	2.82655e+06	303.68	0	14.1527	2.69597	56387.5	3.43792	1.48171	0.248672	0.51372	0.119821	0.557809
127	2.84146e+06	324	0	14.1991	2.88706	56848.4	3.72821	1.64451	0.271912	0.524813	0.123828	0.55685
128	2.85734e+06	348.16	0	14.261	3.11376	57384.9	3.97646	1.76298	0.290032	0.550395	0.132819	0.557389
129	2.87294e+06	374.56	0	14.3413	3.36056	57974.4	4.01716	1.74573	0.302483	0.574678	0.139904	0.559748
130	2.89137e+06	397.28	0	14.4005	3.57809	58468.4	3.8216	1.62927	0.294037	0.569194	0.134566	0.563191
131	2.91519e+06	414.08	0	14.4198	3.74653	58764	3.21948	1.27322	0.258288	0.551972	0.125611	0.56642
132	2.94117e+06	436.32	0	14.4574	3.95307	59101.9	3.20805	1.30893	0.247525	0.525802	0.120573	0.568071
133	2.96469e+06	450.24	0	14.4883	4.09483	59400.5	3.04185	1.20091	0.243008	0.522171	0.120986	0.567353
134	2.98682e+06	465.44	0	14.5165	4.24671	59702	3.13989	1.28117	0.242957	0.513665	0.118169	0.564839
135	3.00749e+06	480.48	0	14.5463	4.39923	60013.8	3.21182	1.31855	0.248034	0.515569	0.123495	0.561611
