iter	wsg	dbh	basal	dr
1199	0.535209	0.0153373	0.00604228	0.00604228
1199	0.535209	0.00817184	0.00604228	0.00604228
1199	0.535209	0.0154813	0.00604228	0.00604228
1199	0.535209	0.180314	0.00604228	0.00604228
1199	0.535209	0.005	0.00604228	0.00604228
1199	0.535209	0.0111436	0.00604228	0.00604228
1199	0.535209	0.0121083	0.00604228	0.00604228
1199	0.535209	0.00551486	0.00604228	0.00604228
1199	0.535209	0.362139	0.00604228	0.00604228
1199	0.535209	0.098615	0.00604228	0.00604228
1199	0.535209	0.00567739	0.00604228	0.00604228
1199	0.535209	0.00806196	0.00604228	0.00604228
